id,session_id,group_id,stage,event_type,target,payload_json,client_ts,created_at
o00030004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,4,agent.help_click,help-button,"{""help_count"": 5}",2024-01-15T09:08:51+00:00,2024-01-15T09:08:51+00:00
o00030005-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,agent.help_click,help-button,"{""help_count"": 6}",2024-01-15T09:09:31+00:00,2024-01-15T09:09:31+00:00
o00030006-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,1,agent.help_click,help-button,"{""help_count"": 7}",2024-01-15T09:10:11+00:00,2024-01-15T09:10:11+00:00
o00030007-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,2,agent.help_click,help-button,"{""help_count"": 8}",2024-01-15T09:10:51+00:00,2024-01-15T09:10:51+00:00
o00030008-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,3,agent.help_click,help-button,"{""help_count"": 9}",2024-01-15T09:11:31+00:00,2024-01-15T09:11:31+00:00
o00030009-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,4,agent.help_click,help-button,"{""help_count"": 10}",2024-01-15T09:12:11+00:00,2024-01-15T09:12:11+00:00
o00030010-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,agent.help_click,help-button,"{""help_count"": 11}",2024-01-15T09:12:51+00:00,2024-01-15T09:12:51+00:00
o00030011-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,1,agent.help_click,help-button,"{""help_count"": 12}",2024-01-15T09:13:31+00:00,2024-01-15T09:13:31+00:00
o00030012-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,2,agent.help_click,help-button,"{""help_count"": 13}",2024-01-15T09:14:11+00:00,2024-01-15T09:14:11+00:00
o00030013-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,3,agent.help_click,help-button,"{""help_count"": 14}",2024-01-15T09:14:51+00:00,2024-01-15T09:14:51+00:00
o00030014-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,4,agent.help_click,help-button,"{""help_count"": 15}",2024-01-15T09:15:31+00:00,2024-01-15T09:15:31+00:00
o00030015-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,agent.help_click,help-button,"{""help_count"": 16}",2024-01-15T09:16:11+00:00,2024-01-15T09:16:11+00:00
o00030016-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,1,agent.help_click,help-button,"{""help_count"": 17}",2024-01-15T09:16:51+00:00,2024-01-15T09:16:51+00:00
o00030017-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,2,agent.help_click,help-button,"{""help_count"": 18}",2024-01-15T09:17:31+00:00,2024-01-15T09:17:31+00:00
o00030018-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,3,agent.help_click,help-button,"{""help_count"": 19}",2024-01-15T09:18:11+00:00,2024-01-15T09:18:11+00:00
o00030019-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,4,agent.help_click,help-button,"{""help_count"": 20}",2024-01-15T09:18:51+00:00,2024-01-15T09:18:51+00:00
o00030020-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,agent.help_click,help-button,"{""help_count"": 21}",2024-01-15T09:19:31+00:00,2024-01-15T09:19:31+00:00
o00030021-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,1,agent.help_click,help-button,"{""help_count"": 22}",2024-01-15T09:20:11+00:00,2024-01-15T09:20:11+00:00
o00030022-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,2,agent.help_click,help-button,"{""help_count"": 23}",2024-01-15T09:20:51+00:00,2024-01-15T09:20:51+00:00
o00030023-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,3,agent.help_click,help-button,"{""help_count"": 24}",2024-01-15T09:21:31+00:00,2024-01-15T09:21:31+00:00
o00030024-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,4,agent.help_click,help-button,"{""help_count"": 25}",2024-01-15T09:22:11+00:00,2024-01-15T09:22:11+00:00
o00030025-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,agent.help_click,help-button,"{""help_count"": 26}",2024-01-15T09:22:51+00:00,2024-01-15T09:22:51+00:00
o00030026-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,1,agent.help_click,help-button,"{""help_count"": 27}",2024-01-15T09:23:31+00:00,2024-01-15T09:23:31+00:00
o00030027-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,2,agent.help_click,help-button,"{""help_count"": 28}",2024-01-15T09:24:11+00:00,2024-01-15T09:24:11+00:00
o00030028-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,3,agent.help_click,help-button,"{""help_count"": 29}",2024-01-15T09:24:51+00:00,2024-01-15T09:24:51+00:00
o00030029-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,4,agent.help_click,help-button,"{""help_count"": 30}",2024-01-15T09:25:31+00:00,2024-01-15T09:25:31+00:00
o00030030-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,agent.help_click,help-button,"{""help_count"": 31}",2024-01-15T09:26:11+00:00,2024-01-15T09:26:11+00:00
o00030031-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,1,agent.help_click,help-button,"{""help_count"": 32}",2024-01-15T09:26:51+00:00,2024-01-15T09:26:51+00:00
o00030032-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,2,agent.help_click,help-button,"{""help_count"": 33}",2024-01-15T09:27:31+00:00,2024-01-15T09:27:31+00:00
o00030033-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,3,agent.help_click,help-button,"{""help_count"": 34}",2024-01-15T09:28:11+00:00,2024-01-15T09:28:11+00:00
o00030034-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,4,agent.help_click,help-button,"{""help_count"": 35}",2024-01-15T09:28:51+00:00,2024-01-15T09:28:51+00:00
o00030035-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,agent.help_click,help-button,"{""help_count"": 36}",2024-01-15T09:29:31+00:00,2024-01-15T09:29:31+00:00
o00030036-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,1,agent.help_click,help-button,"{""help_count"": 37}",2024-01-15T09:30:11+00:00,2024-01-15T09:30:11+00:00
o00030037-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,2,agent.help_click,help-button,"{""help_count"": 38}",2024-01-15T09:30:51+00:00,2024-01-15T09:30:51+00:00
o00030038-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,3,agent.help_click,help-button,"{""help_count"": 39}",2024-01-15T09:31:31+00:00,2024-01-15T09:31:31+00:00
o00030039-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,4,agent.help_click,help-button,"{""help_count"": 40}",2024-01-15T09:32:11+00:00,2024-01-15T09:32:11+00:00
o00030040-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,agent.help_click,help-button,"{""help_count"": 41}",2024-01-15T09:32:51+00:00,2024-01-15T09:32:51+00:00
o00032000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,quiz.wrong_answer,stage-0,"{""item"": 0, ""is_correct"": false}",2024-01-15T09:06:27+00:00,2024-01-15T09:06:27+00:00
o00034000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,agent.idle_trigger,stage-0,"{""stage"": 0}",2024-01-15T09:06:05+00:00,2024-01-15T09:06:05+00:00
o00034001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,1,agent.idle_trigger,stage-1,"{""stage"": 1}",2024-01-15T09:07:15+00:00,2024-01-15T09:07:15+00:00
o00034002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,2,agent.idle_trigger,stage-2,"{""stage"": 2}",2024-01-15T09:08:25+00:00,2024-01-15T09:08:25+00:00
o00034003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,3,agent.idle_trigger,stage-3,"{""stage"": 3}",2024-01-15T09:09:35+00:00,2024-01-15T09:09:35+00:00
o00034004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,4,agent.idle_trigger,stage-4,"{""stage"": 4}",2024-01-15T09:10:45+00:00,2024-01-15T09:10:45+00:00
o00034005-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,agent.idle_trigger,stage-0,"{""stage"": 0}",2024-01-15T09:11:55+00:00,2024-01-15T09:11:55+00:00
o00034006-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,1,agent.idle_trigger,stage-1,"{""stage"": 1}",2024-01-15T09:13:05+00:00,2024-01-15T09:13:05+00:00
o00034007-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,2,agent.idle_trigger,stage-2,"{""stage"": 2}",2024-01-15T09:14:15+00:00,2024-01-15T09:14:15+00:00
o00036000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,stage.submission_save,stage-0,"{""stage_key"": ""warmup"", ""is_completed"": true, ""completion_rate"": 0.8457}",2024-01-15T09:06:02+00:00,2024-01-15T09:06:02+00:00
o00036001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,1,stage.submission_save,stage-1,"{""stage_key"": ""observe"", ""is_completed"": true, ""completion_rate"": 0.976}",2024-01-15T09:09:02+00:00,2024-01-15T09:09:02+00:00
o00036002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,2,stage.submission_save,stage-2,"{""stage_key"": ""predict"", ""is_completed"": true, ""completion_rate"": 0.9619}",2024-01-15T09:12:02+00:00,2024-01-15T09:12:02+00:00
o00036003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,3,stage.submission_save,stage-3,"{""stage_key"": ""test"", ""is_completed"": true, ""completion_rate"": 0.8741}",2024-01-15T09:15:02+00:00,2024-01-15T09:15:02+00:00
o00036004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,4,stage.submission_save,stage-4,"{""stage_key"": ""review"", ""is_completed"": true, ""completion_rate"": 0.6052}",2024-01-15T09:18:02+00:00,2024-01-15T09:18:02+00:00
o00040000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,0,agent.help_click,help-button,"{""help_count"": 1}",2024-01-15T09:08:11+00:00,2024-01-15T09:08:11+00:00
o00040001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,1,agent.help_click,help-button,"{""help_count"": 2}",2024-01-15T09:08:51+00:00,2024-01-15T09:08:51+00:00
o00040002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,2,agent.help_click,help-button,"{""help_count"": 3}",2024-01-15T09:09:31+00:00,2024-01-15T09:09:31+00:00
o00040003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,3,agent.help_click,help-button,"{""help_count"": 4}",2024-01-15T09:10:11+00:00,2024-01-15T09:10:11+00:00
o00040004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,4,agent.help_click,help-button,"{""help_count"": 5}",2024-01-15T09:10:51+00:00,2024-01-15T09:10:51+00:00
o00042000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,0,quiz.wrong_answer,stage-0,"{""item"": 0, ""is_correct"": false}",2024-01-15T09:08:27+00:00,2024-01-15T09:08:27+00:00
o00042001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,1,quiz.wrong_answer,stage-1,"{""item"": 1, ""is_correct"": false}",2024-01-15T09:10:02+00:00,2024-01-15T09:10:02+00:00
o00044000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,0,agent.idle_trigger,stage-0,"{""stage"": 0}",2024-01-15T09:08:05+00:00,2024-01-15T09:08:05+00:00
o00044001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,1,agent.idle_trigger,stage-1,"{""stage"": 1}",2024-01-15T09:09:15+00:00,2024-01-15T09:09:15+00:00
o00044002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,2,agent.idle_trigger,stage-2,"{""stage"": 2}",2024-01-15T09:10:25+00:00,2024-01-15T09:10:25+00:00
o00044003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,3,agent.idle_trigger,stage-3,"{""stage"": 3}",2024-01-15T09:11:35+00:00,2024-01-15T09:11:35+00:00
o00044004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,4,agent.idle_trigger,stage-4,"{""stage"": 4}",2024-01-15T09:12:45+00:00,2024-01-15T09:12:45+00:00
o00044005-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,0,agent.idle_trigger,stage-0,"{""stage"": 0}",2024-01-15T09:13:55+00:00,2024-01-15T09:13:55+00:00
o00044006-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,1,agent.idle_trigger,stage-1,"{""stage"": 1}",2024-01-15T09:15:05+00:00,2024-01-15T09:15:05+00:00
o00044007-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,2,agent.idle_trigger,stage-2,"{""stage"": 2}",2024-01-15T09:16:15+00:00,2024-01-15T09:16:15+00:00
o00046000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,0,stage.submission_save,stage-0,"{""stage_key"": ""warmup"", ""is_completed"": true, ""completion_rate"": 0.709}",2024-01-15T09:08:02+00:00,2024-01-15T09:08:02+00:00
o00046001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,1,stage.submission_save,stage-1,"{""stage_key"": ""observe"", ""is_completed"": true, ""completion_rate"": 0.6496}",2024-01-15T09:11:02+00:00,2024-01-15T09:11:02+00:00
o00046002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,2,stage.submission_save,stage-2,"{""stage_key"": ""predict"", ""is_completed"": true, ""completion_rate"": 0.9613}",2024-01-15T09:14:02+00:00,2024-01-15T09:14:02+00:00
o00046003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,3,stage.submission_save,stage-3,"{""stage_key"": ""test"", ""is_completed"": true, ""completion_rate"": 0.9171}",2024-01-15T09:17:02+00:00,2024-01-15T09:17:02+00:00
o00046004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,4,stage.submission_save,stage-4,"{""stage_key"": ""review"", ""is_completed"": true, ""completion_rate"": 0.7031}",2024-01-15T09:20:02+00:00,2024-01-15T09:20:02+00:00
o00050000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,0,agent.help_click,help-button,"{""help_count"": 1}",2024-01-15T09:10:11+00:00,2024-01-15T09:10:11+00:00
o00050001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,1,agent.help_click,help-button,"{""help_count"": 2}",2024-01-15T09:10:51+00:00,2024-01-15T09:10:51+00:00
o00050002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,2,agent.help_click,help-button,"{""help_count"": 3}",2024-01-15T09:11:31+00:00,2024-01-15T09:11:31+00:00
o00050003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,3,agent.help_click,help-button,"{""help_count"": 4}",2024-01-15T09:12:11+00:00,2024-01-15T09:12:11+00:00
o00050004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,4,agent.help_click,help-button,"{""help_count"": 5}",2024-01-15T09:12:51+00:00,2024-01-15T09:12:51+00:00
o00052000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,0,quiz.wrong_answer,stage-0,"{""item"": 0, ""is_correct"": false}",2024-01-15T09:10:27+00:00,2024-01-15T09:10:27+00:00
o00052001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,1,quiz.wrong_answer,stage-1,"{""item"": 1, ""is_correct"": false}",2024-01-15T09:12:02+00:00,2024-01-15T09:12:02+00:00
o00052002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,2,quiz.wrong_answer,stage-2,"{""item"": 2, ""is_correct"": false}",2024-01-15T09:13:37+00:00,2024-01-15T09:13:37+00:00
o00054000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,0,agent.idle_trigger,stage-0,"{""stage"": 0}",2024-01-15T09:10:05+00:00,2024-01-15T09:10:05+00:00
o00054001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,1,agent.idle_trigger,stage-1,"{""stage"": 1}",2024-01-15T09:11:15+00:00,2024-01-15T09:11:15+00:00
o00054002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,2,agent.idle_trigger,stage-2,"{""stage"": 2}",2024-01-15T09:12:25+00:00,2024-01-15T09:12:25+00:00
o00054003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,3,agent.idle_trigger,stage-3,"{""stage"": 3}",2024-01-15T09:13:35+00:00,2024-01-15T09:13:35+00:00
