id,session_id,group_id,stage,action,trigger_source,message,hint,scaffolds,metrics_snapshot_json,form_snapshot_json,created_at
d00030004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,4,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 3, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:07:32+00:00
d00030005-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 4, ""coreFilled"": 1, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:08:12+00:00
d00030006-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,1,probe,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 4, ""coreFilled"": 2, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:08:26+00:00
d00030007-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,2,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 5, ""coreFilled"": 3, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:08:52+00:00
d00030008-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,3,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 6, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:09:32+00:00
d00030009-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,4,probe,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 6, ""coreFilled"": 1, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:09:36+00:00
d00030010-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 7, ""coreFilled"": 2, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:10:12+00:00
d00030011-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,1,scaffold,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 7, ""coreFilled"": 3, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:10:46+00:00
d00030012-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,2,probe,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 8, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:10:52+00:00
d00030013-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,3,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 9, ""coreFilled"": 1, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:11:32+00:00
d00030014-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,4,scaffold,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 9, ""coreFilled"": 2, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:11:56+00:00
d00030015-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,probe,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 10, ""coreFilled"": 3, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:12:12+00:00
d00030016-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,1,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 11, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:12:52+00:00
d00030017-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,2,scaffold,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 11, ""coreFilled"": 1, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:13:06+00:00
d00030018-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,3,probe,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 12, ""coreFilled"": 2, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:13:32+00:00
d00030019-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,4,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 13, ""coreFilled"": 3, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:14:12+00:00
d00030020-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,scaffold,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 13, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:14:16+00:00
d00030021-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,1,probe,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 14, ""coreFilled"": 1, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:14:52+00:00
d00030022-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,2,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 15, ""coreFilled"": 2, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:15:32+00:00
d00030023-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,3,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 16, ""coreFilled"": 3, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:16:12+00:00
d00030024-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,4,probe,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 17, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:16:52+00:00
d00030025-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 18, ""coreFilled"": 1, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:17:32+00:00
d00030026-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,1,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 19, ""coreFilled"": 2, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:18:12+00:00
d00030027-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,2,probe,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 20, ""coreFilled"": 3, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:18:52+00:00
d00030028-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,3,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 21, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:19:32+00:00
d00030029-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,4,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 22, ""coreFilled"": 1, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:20:12+00:00
d00030030-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,probe,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 23, ""coreFilled"": 2, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:20:52+00:00
d00030031-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,1,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 24, ""coreFilled"": 3, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:21:32+00:00
d00030032-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,2,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 25, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:22:12+00:00
d00030033-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,3,probe,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 26, ""coreFilled"": 1, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:22:52+00:00
d00030034-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,4,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 27, ""coreFilled"": 2, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:23:32+00:00
d00030035-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 28, ""coreFilled"": 3, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:24:12+00:00
d00030036-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,1,probe,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 29, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:24:52+00:00
d00030037-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,2,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 30, ""coreFilled"": 1, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:25:32+00:00
d00030038-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,3,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 31, ""coreFilled"": 2, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:26:12+00:00
d00030039-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,4,probe,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 32, ""coreFilled"": 3, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:26:52+00:00
d00030040-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 33, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:27:32+00:00
d00030041-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,1,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 34, ""coreFilled"": 1, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:28:12+00:00
d00030042-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,2,probe,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 35, ""coreFilled"": 2, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:28:52+00:00
d00030043-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,3,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 36, ""coreFilled"": 3, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:29:32+00:00
d00030044-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,4,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 37, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:30:12+00:00
d00030045-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,0,probe,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 38, ""coreFilled"": 1, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:30:52+00:00
d00030046-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,1,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 39, ""coreFilled"": 2, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:31:32+00:00
d00030047-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,2,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 40, ""coreFilled"": 3, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:32:12+00:00
d00030048-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000003-0000-4000-8000-000000000000,3,probe,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 41, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:32:52+00:00
d00040000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,0,probe,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 0, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:08:06+00:00
d00040001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,1,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 1, ""coreFilled"": 1, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:08:12+00:00
d00040002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,2,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 2, ""coreFilled"": 2, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:08:52+00:00
d00040003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,3,probe,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 2, ""coreFilled"": 3, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:09:16+00:00
d00040004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,4,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 3, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:09:32+00:00
d00040005-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,0,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 4, ""coreFilled"": 1, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:10:12+00:00
d00040006-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,1,probe,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 4, ""coreFilled"": 2, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:10:26+00:00
d00040007-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,2,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 5, ""coreFilled"": 3, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:10:52+00:00
d00040008-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,3,scaffold,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 5, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:11:36+00:00
d00040009-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,4,probe,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 5, ""coreFilled"": 1, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:12:46+00:00
d00040010-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,0,scaffold,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 5, ""coreFilled"": 2, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:13:56+00:00
d00040011-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,1,scaffold,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 5, ""coreFilled"": 3, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:15:06+00:00
d00040012-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000004-0000-4000-8000-000000000000,2,probe,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 5, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:16:16+00:00
d00050000-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,0,probe,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 0, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:10:06+00:00
d00050001-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,1,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 1, ""coreFilled"": 1, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:10:12+00:00
d00050002-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,2,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 2, ""coreFilled"": 2, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:10:52+00:00
d00050003-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,3,probe,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 2, ""coreFilled"": 3, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:11:16+00:00
d00050004-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,4,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 3, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:11:32+00:00
d00050005-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,0,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 4, ""coreFilled"": 1, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:12:12+00:00
d00050006-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,1,probe,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 4, ""coreFilled"": 2, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:12:26+00:00
d00050007-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,2,scaffold,help_click,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 5, ""coreFilled"": 3, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:12:52+00:00
d00050008-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,3,scaffold,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 5, ""coreFilled"": 0, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:13:36+00:00
d00050009-0000-4000-8000-000000000000,s0000000-0000-4000-8000-000000000001,g00000005-0000-4000-8000-000000000000,4,probe,idle,synthetic placeholder,synthetic placeholder,[],"{""helpClicks"": 5, ""coreFilled"": 1, ""coreTotal"": 4}","{""note"": ""synthetic placeholder""}",2024-01-15T09:14:46+00:00
